Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
Frost/Nixon,2008,122,Biography,7.7,Ron Howard,Frank Langella,103330,18593156,80
Full Metal Jacket,1987,116,Drama,8.3,Stanley Kubrick,Matthew Modine,675146,46357676,76
Funny Games,1997,108,Crime,7.6,Michael Haneke,Susanne Lothar,65058,217345863,69
G.O.R.A.,2004,127,Adventure,8,Ömer Faruk Sorak,Cem Yilmaz,56960,196206077,
Gake no ue no Ponyo,2008,101,Animation,7.7,Hayao Miyazaki,Cate Blanchett,125317,15090400,86
Gandhi,1982,191,Biography,8,Richard Attenborough,Ben Kingsley,217664,52767889,79
Gangs of Wasseypur,2012,321,Action,8.2,Anurag Kashyap,Manoj Bajpayee,82365,5257741,89
Gattaca,1997,106,Drama,7.8,Andrew Niccol,Ethan Hawke,280845,12339633,64
Gegen die Wand,2004,121,Drama,7.9,Fatih Akin,Birol Ünel,51325,213063755,78
Get Out,2017,104,Horror,7.7,Jordan Peele,Daniel Kaluuya,492851,176040665,85
Ghostbusters,1984,105,Action,7.8,Ivan Reitman,Bill Murray,355413,238632124,71
Giù la testa,1971,157,Drama,7.6,Sergio Leone,Rod Steiger,30144,696690,77
Giant,1956,201,Drama,7.6,George Stevens,Elizabeth Taylor,34075,195217415,84
Gifted,2017,101,Drama,7.6,Marc Webb,Chris Evans,99643,24801212,60
Gilda,1946,110,Drama,7.7,Charles Vidor,Rita Hayworth,27991,532234536,
Gisaengchung,2019,132,Comedy,8.6,Bong Joon Ho,Kang-ho Song,552778,53367844,96
Gladiator,2000,155,Action,8.5,Ridley Scott,Russell Crowe,1341460,187705427,67
Glengarry Glen Ross,1992,100,Crime,7.7,James Foley,Al Pacino,95826,10725228,82
Glory,1989,122,Biography,7.8,Edward Zwick,Matthew Broderick,122779,26830000,78
God's Own Country,2017,104,Drama,7.7,Francis Lee,Josh O'Connor,25198,335609,85
Goldfinger,1964,110,Action,7.7,Guy Hamilton,Sean Connery,174119,51081062,87
Gone Baby Gone,2007,114,Crime,7.6,Ben Affleck,Morgan Freeman,250590,20300218,72
Gone Girl,2014,149,Drama,8.1,David Fincher,Ben Affleck,859695,167767189,79
Gone with the Wind,1939,238,Drama,8.1,Victor Fleming,George Cukor,290074,198676459,97
Gongdong gyeongbi guyeok JSA,2000,110,Action,7.8,Chan-wook Park,Lee Yeong-ae,26518,147161249,58
Good Bye Lenin!,2003,121,Comedy,7.7,Wolfgang Becker,Daniel Brühl,137981,4064200,68
Good Will Hunting,1997,126,Drama,8.3,Gus Van Sant,Robin Williams,861606,138433435,70
Goodfellas,1990,146,Biography,8.7,Martin Scorsese,Robert De Niro,1020727,46836394,90
Gran Torino,2008,116,Drama,8.1,Clint Eastwood,Clint Eastwood,720450,148095302,72
Gravity,2013,91,Drama,7.7,Alfonso Cuarón,Sandra Bullock,769145,274092705,96
Green Book,2018,130,Biography,8.2,Peter Farrelly,Viggo Mortensen,377884,85080171,69
Groundhog Day,1993,101,Comedy,8,Harold Ramis,Bill Murray,577991,70906973,72
Guardians of the Galaxy,2014,121,Action,8,James Gunn,Chris Pratt,1043455,333176600,76
Guardians of the Galaxy Vol. 2,2017,136,Action,7.6,James Gunn,Chris Pratt,569974,389813101,67
Guess Who's Coming to Dinner,1967,108,Comedy,7.8,Stanley Kramer,Spencer Tracy,39642,56700000,63
Gully Boy,2019,154,Drama,8,Zoya Akhtar,Vijay Varma,31886,5566534,65
Hævnen,2010,118,Drama,7.6,Susanne Bier,Mikael Persbrandt,38491,1008098,65
Höstsonaten,1978,99,Drama,8.2,Ingmar Bergman,Ingrid Bergman,26875,231949286,
Hable con ella,2002,112,Drama,7.9,Pedro Almodóvar,Rosario Flores,104691,9284265,86
Hachi: A Dog's Tale,2009,93,Biography,8.1,Lasse Hallström,Richard Gere,253575,91090444,
Hacksaw Ridge,2016,139,Biography,8.1,Mel Gibson,Andrew Garfield,435928,67209615,71
Haider,2014,160,Action,8.1,Vishal Bhardwaj,Shahid Kapoor,50445,901610,
Halloween,1978,91,Horror,7.7,John Carpenter,Donald Pleasence,233106,47000000,87
Hamilton,2020,160,Biography,8.6,Thomas Kail,Lin-Manuel Miranda,55291,440984783,90
Hamlet,1996,242,Drama,7.7,Kenneth Branagh,Kenneth Branagh,35991,4414535,
Hana-bi,1997,103,Crime,7.8,Takeshi Kitano,Takeshi Kitano,27712,233986,
Hannah and Her Sisters,1986,107,Comedy,7.9,Woody Allen,Mia Farrow,67176,40084041,90
Happiness,1998,134,Comedy,7.7,Todd Solondz,Jane Adams,66408,2807390,81
Harold and Maude,1971,91,Comedy,7.9,Hal Ashby,Ruth Gordon,70826,804935438,62
Harry Potter and the Deathly Hallows: Part 1,2010,146,Adventure,7.7,David Yates,Daniel Radcliffe,479120,295983305,65
Harry Potter and the Deathly Hallows: Part 2,2011,130,Adventure,8.1,David Yates,Daniel Radcliffe,764493,381011219,85
Harry Potter and the Goblet of Fire,2005,157,Adventure,7.7,Mike Newell,Daniel Radcliffe,548619,290013036,81
Harry Potter and the Half-Blood Prince,2009,153,Action,7.6,David Yates,Daniel Radcliffe,474827,301959197,78
Harry Potter and the Prisoner of Azkaban,2004,142,Adventure,7.9,Alfonso Cuarón,Daniel Radcliffe,552493,249358727,82
Harry Potter and the Sorcerer's Stone,2001,152,Adventure,7.6,Chris Columbus,Daniel Radcliffe,658185,317575550,64
Harvey,1950,104,Comedy,7.9,Henry Koster,James Stewart,52573,886752933,
Hauru no ugoku shiro,2004,119,Animation,8.2,Hayao Miyazaki,Chieko Baishô,333915,4711096,80
Heat,1995,170,Crime,8.2,Michael Mann,Al Pacino,577113,67436818,76
Hedwig and the Angry Inch,2001,95,Comedy,7.7,John Cameron Mitchell,John Cameron Mitchell,31957,3029081,85
Hell or High Water,2016,102,Action,7.6,David Mackenzie,Chris Pine,204175,26862450,88
Her,2013,126,Drama,8,Spike Jonze,Joaquin Phoenix,540772,25568251,90
Hera Pheri,2000,156,Action,8.2,Priyadarshan,Akshay Kumar,57057,177903165,
Hidden Figures,2016,127,Biography,7.8,Theodore Melfi,Taraji P. Henson,200876,169607287,74
High Noon,1952,85,Drama,7.9,Fred Zinnemann,Gary Cooper,97222,9450000,89
Hiroshima mon amour,1959,90,Drama,7.9,Alain Resnais,Emmanuelle Riva,28421,88300,
His Girl Friday,1940,92,Comedy,7.9,Howard Hawks,Cary Grant,53667,296000,
Home Alone,1990,103,Comedy,7.6,Chris Columbus,Macaulay Culkin,488817,285761243,63
Hot Fuzz,2007,121,Action,7.8,Edgar Wright,Simon Pegg,463466,23637265,81
Hotaru no haka,1988,89,Animation,8.5,Isao Takahata,Tsutomu Tatsumi,235231,150734678,94
Hotel Rwanda,2004,121,Biography,8.1,Terry George,Don Cheadle,334320,23530892,79
How to Train Your Dragon,2010,98,Animation,8.1,Dean DeBlois,Chris Sanders,666773,217581231,75
How to Train Your Dragon 2,2014,102,Animation,7.8,Dean DeBlois,Jay Baruchel,305611,177002924,76
Hunt for the Wilderpeople,2016,101,Adventure,7.9,Taika Waititi,Sam Neill,111483,5202582,81
Huo Yuan Jia,2006,104,Action,7.6,Ronny Yu,Jet Li,72863,24633730,70
I Am Sam,2001,132,Drama,7.7,Jessie Nelson,Sean Penn,142863,40311852,28
"I, Daniel Blake",2016,100,Drama,7.9,Ken Loach,Laura Obiols,53818,258168,78
Idi i smotri,1985,142,Drama,8.3,Elem Klimov,Aleksey Kravchenko,59056,728423774,
Ikiru,1952,143,Drama,8.3,Akira Kurosawa,Takashi Shimura,68463,55240,
"Il buono, il brutto, il cattivo",1966,161,Western,8.8,Sergio Leone,Clint Eastwood,688390,6100000,90
Il conformista,1970,113,Drama,8,Bernardo Bertolucci,Jean-Louis Trintignant,27067,541940,100
Il postino,1994,108,Biography,7.7,Michael Radford,Massimo Troisi,33600,21848932,81
In a Lonely Place,1950,94,Drama,8,Nicholas Ray,Humphrey Bogart,26784,532877349,
In America,2002,105,Drama,7.7,Jim Sheridan,Paddy Considine,40403,15539266,76
In Bruges,2008,107,Comedy,7.9,Martin McDonagh,Colin Farrell,390334,7757130,67
In the Heat of the Night,1967,110,Crime,7.9,Norman Jewison,Sidney Poitier,67804,24379978,75
In the Name of the Father,1993,133,Biography,8.1,Jim Sheridan,Daniel Day-Lewis,156842,25010410,84
Incendies,2010,131,Drama,8.3,Denis Villeneuve,Lubna Azabal,150023,6857096,80
Inception,2010,148,Action,8.8,Christopher Nolan,Leonardo DiCaprio,2067042,292576195,74
Incredibles 2,2018,118,Animation,7.6,Brad Bird,Craig T. Nelson,250057,608581744,80
Indiana Jones and the Last Crusade,1989,127,Action,8.2,Steven Spielberg,Harrison Ford,692366,197171806,65
Inglourious Basterds,2009,153,Adventure,8.3,Quentin Tarantino,Brad Pitt,1267869,120540719,69
Inherit the Wind,1960,128,Biography,8.1,Stanley Kramer,Spencer Tracy,27254,62850934,75
Inside Man,2006,129,Crime,7.6,Spike Lee,Denzel Washington,339757,88513495,76
Inside Out,2015,95,Animation,8.1,Pete Docter,Ronnie Del Carmen,616228,356461711,94
Interstate 60: Episodes of the Road,2002,116,Adventure,7.7,Bob Gale,James Marsden,29999,174381905,
Interstellar,2014,169,Adventure,8.6,Christopher Nolan,Matthew McConaughey,1512360,188020017,74
Into the Wild,2007,148,Adventure,8.1,Sean Penn,Emile Hirsch,572921,18354356,73
Invasion of the Body Snatchers,1956,80,Drama,7.7,Don Siegel,Kevin McCarthy,44839,244000775,92
Iron Man,2008,126,Action,7.9,Jon Favreau,Robert Downey Jr.,939644,318412101,79
Isle of Dogs,2018,101,Animation,7.9,Wes Anderson,Bryan Cranston,139114,32015231,82
It Happened One Night,1934,105,Comedy,8.1,Frank Capra,Clark Gable,94016,4360000,87
It's a Wonderful Life,1946,130,Drama,8.6,Frank Capra,James Stewart,405801,82385199,89
Ivanovo detstvo,1962,95,Drama,8.1,Andrei Tarkovsky,Eduard Abalov,31728,388466313,
Jûbê ninpûchô,1993,94,Animation,7.9,Yoshiaki Kawajiri,Kôichi Yamadera,34529,713576404,
Jab We Met,2007,138,Comedy,7.9,Imtiaz Ali,Shahid Kapoor,47720,410800,
Jagten,2012,115,Drama,8.3,Thomas Vinterberg,Mads Mikkelsen,281623,687185,77
Jaws,1975,124,Adventure,8,Steven Spielberg,Roy Scheider,543388,260000000,87
Jeux d'enfants,2003,93,Comedy,7.6,Yann Samuell,Guillaume Canet,67360,548707,45
JFK,1991,189,Drama,8,Oliver Stone,Kevin Costner,142110,70405498,72
Jodaeiye Nader az Simin,2011,123,Drama,8.3,Asghar Farhadi,Payman Maadi,220002,7098492,95
Jojo Rabbit,2019,108,Comedy,7.9,Taika Waititi,Roman Griffin Davis,297918,349555,58
Joker,2019,122,Crime,8.5,Todd Phillips,Joaquin Phoenix,939252,335451311,59
Joyeux Noël,2005,116,Drama,7.7,Christian Carion,Diane Kruger,28003,1054361,70
Judgment at Nuremberg,1961,179,Drama,8.2,Stanley Kramer,Spencer Tracy,69458,867589901,60
Jules et Jim,1962,105,Drama,7.8,François Truffaut,Jeanne Moreau,37605,819571597,97
Jungfrukällan,1960,89,Drama,8.1,Ingmar Bergman,Max von Sydow,26697,1526000,
Jurassic Park,1993,127,Action,8.1,Steven Spielberg,Sam Neill,867615,402453882,68
Just Mercy,2019,137,Biography,7.6,Destin Daniel Cretton,Michael B. Jordan,46739,279498224,68
K.G.F: Chapter 1,2018,156,Action,8.2,Prashanth Neel,Yash,36680,811875821,
Kôkaku Kidôtai,1995,83,Animation,8,Mamoru Oshii,Atsuko Tanaka,129231,515905,76
Kagemusha,1980,180,Drama,8,Akira Kurosawa,Tatsuya Nakadai,32195,66363801,84
Kaguyahime no monogatari,2013,137,Animation,8,Isao Takahata,Chloë Grace Moretz,38746,1506975,89
Kahaani,2012,122,Mystery,8.1,Sujoy Ghosh,Vidya Balan,57806,1035953,
Kai po che!,2013,130,Drama,7.7,Abhishek Kapoor,Amit Sadh,32628,1122527,40
Kakushi-toride no san-akunin,1958,139,Adventure,8.1,Akira Kurosawa,Toshirô Mifune,34797,443906080,
Kal Ho Naa Ho,2003,186,Comedy,8,Nikkhil Advani,Preity Zinta,63460,1787378,54
Kari-gurashi no Arietti,2010,94,Animation,7.6,Hiromasa Yonebayashi,Amy Poehler,80939,19202743,80
Kaze no tani no Naushika,1984,117,Animation,8.1,Hayao Miyazaki,Sumi Shimamoto,150924,495770,86
Kaze tachinu,2013,126,Animation,7.8,Hayao Miyazaki,Hideaki Anno,73690,5209580,83
Kelly's Heroes,1970,144,Adventure,7.6,Brian G. Hutton,Clint Eastwood,45338,1378435,50
Key Largo,1948,100,Action,7.8,John Huston,Humphrey Bogart,36995,55936517,
Kick-Ass,2010,117,Action,7.6,Matthew Vaughn,Aaron Taylor-Johnson,524081,48071303,66
Kill Bill: Vol. 1,2003,111,Action,8.1,Quentin Tarantino,Uma Thurman,1000639,70099045,69
Kill Bill: Vol. 2,2004,137,Action,8,Quentin Tarantino,Uma Thurman,683900,66208183,83
Kimi no na wa.,2016,106,Animation,8.4,Makoto Shinkai,Ryûnosuke Kamiki,194838,5017246,79
Kind Hearts and Coronets,1949,106,Comedy,8,Robert Hamer,Dennis Price,34485,312368637,
King Kong,1933,100,Adventure,7.9,Merian C. Cooper,Ernest B. Schoedsack,78991,10000000,90
Kingsman: The Secret Service,2014,129,Action,7.7,Matthew Vaughn,Colin Firth,590440,128261724,60
Kis Uykusu,2014,196,Drama,8.1,Nuri Bilge Ceylan,Haluk Bilginer,46547,165520,88
Klaus,2019,96,Animation,8.2,Sergio Pablos,Carlos Martínez López,104761,148596026,65
Knives Out,2019,130,Comedy,7.9,Rian Johnson,Daniel Craig,454203,165359751,82
Knockin' on Heaven's Door,1997,87,Action,8,Thomas Jahn,Til Schweiger,27721,3296,
Koe no katachi,2016,130,Animation,8.1,Naoko Yamada,Miyu Irino,47708,37039721,78
Kokuhaku,2010,106,Drama,7.8,Tetsuya Nakashima,Takako Matsu,35713,18500194,
Kramer vs. Kramer,1979,105,Drama,7.8,Robert Benton,Dustin Hoffman,133351,106260000,77
Kubo and the Two Strings,2016,101,Animation,7.8,Travis Knight,Charlize Theron,118035,48023088,84
Kumonosu-jô,1957,110,Drama,8.1,Akira Kurosawa,Toshirô Mifune,46678,612604239,
Kung fu,2004,99,Action,7.7,Stephen Chow,Stephen Chow,127250,17108591,78
Kurenai no buta,1992,94,Animation,7.7,Hayao Miyazaki,Shûichirô Moriyama,77798,871544815,83
L.A. Confidential,1997,138,Crime,8.2,Curtis Hanson,Kevin Spacey,531967,64616940,90
La battaglia di Algeri,1966,121,Drama,8.1,Gillo Pontecorvo,Brahim Hadjadj,53089,55908,96
La dolce vita,1960,174,Comedy,8,Federico Fellini,Marcello Mastroianni,66621,19516000,95
La double vie de Véronique,1991,98,Drama,7.8,Krzysztof Kieslowski,Irène Jacob,42376,1999955,86
La grande bellezza,2013,141,Drama,7.8,Paolo Sorrentino,Toni Servillo,81125,2852400,86
La Grande Illusion,1937,113,Drama,8.1,Jean Renoir,Jean Gabin,33829,172885,
La haine,1995,98,Crime,8.1,Mathieu Kassovitz,Vincent Cassel,150345,309811,
La La Land,2016,128,Comedy,8,Damien Chazelle,Ryan Gosling,505918,151101803,94
La leggenda del pianista sull'oceano,1998,169,Drama,8.1,Giuseppe Tornatore,Tim Roth,59020,259127,58
La migliore offerta,2013,131,Crime,7.8,Giuseppe Tornatore,Geoffrey Rush,108399,85433,49
La montaña sagrada,1973,114,Adventure,7.9,Alejandro Jodorowsky,Alejandro Jodorowsky,37183,61001,76
La passion de Jeanne d'Arc,1928,110,Biography,8.1,Carl Theodor Dreyer,Maria Falconetti,47676,21877,
La piel que habito,2011,120,Drama,7.6,Pedro Almodóvar,Antonio Banderas,138959,3185812,70
La planète sauvage,1973,72,Animation,7.8,René Laloux,Barry Bostwick,25229,193817,73
La règle du jeu,1939,110,Comedy,8,Jean Renoir,Marcel Dalio,26725,512863371,
La Strada,1954,108,Drama,8,Federico Fellini,Anthony Quinn,58314,101832153,
La vie d'Adèle,2013,180,Drama,7.7,Abdellatif Kechiche,Léa Seydoux,138741,2199675,89
La Vie En Rose,2007,140,Biography,7.6,Olivier Dahan,Marion Cotillard,82781,10301706,66
La vita è bella,1997,116,Comedy,8.6,Roberto Benigni,Roberto Benigni,623629,57598247,59
Låt den rätte komma in,2008,114,Crime,7.9,Tomas Alfredson,Kåre Hedebrant,205609,2122065,82
Léon,1994,110,Action,8.5,Luc Besson,Jean Reno,1035236,19501238,64
Ladri di biciclette,1948,89,Drama,8.3,Vittorio De Sica,Lamberto Maggiorani,146427,332930,
Lagaan: Once Upon a Time in India,2001,224,Adventure,8.1,Ashutosh Gowariker,Aamir Khan,105036,70147,84
Lage Raho Munna Bhai,2006,144,Comedy,8.1,Rajkumar Hirani,Sanjay Dutt,43137,2217561,
Lat sau san taam,1992,128,Action,7.8,John Woo,Yun-Fat Chow,46700,565451439,
Laura,1944,88,Drama,8,Otto Preminger,Gene Tierney,42725,4360000,
L'avventura,1960,144,Drama,7.9,Michelangelo Antonioni,Gabriele Ferzetti,26542,872858832,
Lawrence of Arabia,1962,228,Adventure,8.3,David Lean,Peter O'Toole,268085,44824144,100
Le charme discret de la bourgeoisie,1972,102,Comedy,7.9,Luis Buñuel,Fernando Rey,38737,198809,93
Le dîner de cons,1998,80,Comedy,7.7,Francis Veber,Thierry Lhermitte,37424,4065116,73
Le locataire,1976,126,Drama,7.7,Roman Polanski,Roman Polanski,39889,1924733,71
Le notti di Cabiria,1957,110,Drama,8.1,Federico Fellini,Giulietta Masina,42940,752045,
Le passé,2013,130,Drama,7.8,Asghar Farhadi,Bérénice Bejo,45002,1330596,85
Le Petit Prince,2015,108,Animation,7.7,Mark Osborne,Jeff Bridges,56720,1339152,70
Le salaire de la peur,1953,131,Adventure,8.1,Henri-Georges Clouzot,Yves Montand,54588,124570860,85
Le samouraï,1967,105,Crime,8.1,Jean-Pierre Melville,Alain Delon,45434,39481,
Le scaphandre et le papillon,2007,112,Biography,8,Julian Schnabel,Laura Obiols,103284,5990075,92
Les choristes,2004,97,Drama,7.9,Christophe Barratier,Gérard Jugnot,57430,3635164,56
Les diaboliques,1955,117,Crime,8,Henri-Georges Clouzot,Simone Signoret,61503,67939432,
Les quatre cents coups,1959,99,Crime,8.1,François Truffaut,Jean-Pierre Léaud,105291,263473309,
Les triplettes de Belleville,2003,80,Animation,7.8,Sylvain Chomet,Michèle Caucheteux,50622,7002255,91
Les yeux sans visage,1960,90,Drama,7.7,Georges Franju,Pierre Brasseur,27620,52709,90
Lethal Weapon,1987,109,Action,7.6,Richard Donner,Mel Gibson,236894,65207127,68
Letters from Iwo Jima,2006,141,Action,7.9,Clint Eastwood,Ken Watanabe,154011,13756082,89
Leviafan,2014,140,Crime,7.6,Andrey Zvyagintsev,Aleksey Serebryakov,49397,1092800,92
Life of Brian,1979,94,Comedy,8.1,Terry Jones,Graham Chapman,367250,20045115,77
Life of Pi,2012,127,Adventure,7.9,Ang Lee,Suraj Sharma,580708,124987023,79
Lifeboat,1944,97,Drama,7.6,Alfred Hitchcock,Tallulah Bankhead,26471,852142728,78
Lilja 4-ever,2002,109,Crime,7.8,Lukas Moodysson,Oksana Akinshina,42673,181655,82
Lion,2016,118,Biography,8,Garth Davis,Dev Patel,213970,51739495,69
Little Miss Sunshine,2006,101,Comedy,7.8,Jonathan Dayton,Valerie Faris,439856,59891098,80
Little Women,2019,135,Drama,7.8,Greta Gerwig,Saoirse Ronan,143250,108101214,91
"Lock, Stock and Two Smoking Barrels",1998,107,Action,8.2,Guy Ritchie,Jason Flemyng,535216,3897569,66
Logan,2017,137,Action,8.1,James Mangold,Hugh Jackman,647884,226277068,77
Lola rennt,1998,81,Crime,7.6,Tom Tykwer,Franka Potente,188317,7267585,77
Lord of War,2005,122,Action,7.6,Andrew Niccol,Nicolas Cage,294140,24149632,62
Lost Highway,1997,134,Mystery,7.6,David Lynch,Bill Pullman,131101,3796699,52
Lost in Translation,2003,102,Comedy,7.7,Sofia Coppola,Bill Murray,415074,44585453,89
Love and Death,1975,85,Comedy,7.7,Woody Allen,Woody Allen,36037,745173387,89
Loving Vincent,2017,94,Animation,7.8,Dorota Kobiela,Hugh Welchman,50778,6735118,62
Lucky Number Slevin,2006,110,Action,7.7,Paul McGuigan,Josh Hartnett,299524,22494487,53
M - Eine Stadt sucht einen Mörder,1931,117,Crime,8.3,Fritz Lang,Peter Lorre,143434,28877,
M.S. Dhoni: The Untold Story,2016,184,Biography,7.8,Neeraj Pandey,Sushant Singh Rajput,40416,1782795,
Män som hatar kvinnor,2009,152,Crime,7.8,Niels Arden Oplev,Michael Nyqvist,208994,10095170,76
Mad Max 2,1981,96,Action,7.6,George Miller,Mel Gibson,166588,12465371,77
Mad Max: Fury Road,2015,120,Action,8.1,George Miller,Tom Hardy,882316,154058340,90
Madeo,2009,129,Crime,7.8,Bong Joon Ho,Hye-ja Kim,52758,547292,79
Magnolia,1999,188,Drama,8,Paul Thomas Anderson,Tom Cruise,289742,22455976,77
Majo no takkyûbin,1989,103,Animation,7.8,Hayao Miyazaki,Kirsten Dunst,124193,58564351,83
Malcolm X,1992,202,Biography,7.7,Spike Lee,Denzel Washington,85819,48169908,73
Man on Fire,2004,146,Action,7.7,Tony Scott,Denzel Washington,329592,77911774,47
Manbiki kazoku,2018,121,Crime,7.9,Hirokazu Koreeda,Lily Franky,62754,3313513,93
Manchester by the Sea,2016,137,Drama,7.8,Kenneth Lonergan,Casey Affleck,246963,47695120,96
Mandariinid,2013,87,Drama,8.2,Zaza Urushadze,Lembit Ulfsak,40382,144501,73
Manhattan,1979,96,Comedy,7.9,Woody Allen,Woody Allen,131436,45700000,83
Mar adentro,2014,126,Biography,8,Alejandro Amenábar,Javier Bardem,77554,2086345,74
Marriage Story,2019,137,Comedy,7.9,Noah Baumbach,Adam Driver,246644,2000000,94
Mary and Max,2009,92,Animation,8.1,Adam Elliot,Toni Collette,164462,873839108,
Mary Poppins,1964,139,Comedy,7.8,Robert Stevenson,Julie Andrews,158029,102272727,88
Match Point,2005,124,Drama,7.6,Woody Allen,Scarlett Johansson,206294,23089926,72
Me and Earl and the Dying Girl,2015,105,Comedy,7.7,Alfonso Gomez-Rejon,Thomas Mann,123210,6743776,74
Memento,2000,113,Mystery,8.4,Christopher Nolan,Guy Pearce,1125712,25544867,80
Metropolis,1927,153,Drama,8.3,Fritz Lang,Brigitte Helm,159992,1236166,98
Midnight Cowboy,1969,113,Drama,7.8,John Schlesinger,Dustin Hoffman,101124,44785053,79
Midnight Express,1978,121,Biography,7.6,Alan Parker,Brad Davis,73662,35000000,59
Midnight in Paris,2011,96,Comedy,7.7,Woody Allen,Owen Wilson,388089,56816662,81
Miller's Crossing,1990,115,Crime,7.7,Joel Coen,Ethan Coen,125822,5080409,66
Million Dollar Baby,2004,132,Drama,8.1,Clint Eastwood,Hilary Swank,635975,100492203,86
Mimi wo sumaseba,1995,111,Animation,7.9,Yoshifumi Kondô,Yoko Honna,51943,252243550,75
Minority Report,2002,145,Action,7.6,Steven Spielberg,Tom Cruise,508417,132072926,80
Miracle in cell NO.7,2019,132,Drama,8.3,Mehmet Ada Öztekin,Aras Bulut Iynemli,33935,846784112,
Miracle on 34th Street,1947,96,Comedy,7.9,George Seaton,Edmund Gwenn,41625,2650000,88
Misery,1990,107,Drama,7.8,Rob Reiner,James Caan,184740,61276872,75
Mission: Impossible - Fallout,2018,147,Action,7.7,Christopher McQuarrie,Tom Cruise,291257,220159104,86
Mississippi Burning,1988,128,Crime,7.8,Alan Parker,Gene Hackman,88214,34603943,65
Moana,2016,107,Animation,7.6,Ron Clements,John Musker,272784,248757044,81
Modern Times,1936,87,Comedy,8.5,Charles Chaplin,Charles Chaplin,217881,163245,96
Mommy,2014,139,Drama,8.1,Xavier Dolan,Anne Dorval,50700,3492754,74
Moneyball,2011,133,Biography,7.6,Bennett Miller,Brad Pitt,369529,75605492,87
Mononoke-hime,1997,134,Animation,8.4,Hayao Miyazaki,Yôji Matsuda,343171,2375308,76
"Monsters, Inc.",2001,92,Animation,8.1,Pete Docter,David Silverman,815505,289916256,79
Monty Python and the Holy Grail,1975,91,Adventure,8.2,Terry Gilliam,Terry Jones,500875,1229197,91
Moon,2009,97,Drama,7.9,Duncan Jones,Sam Rockwell,335152,5009677,67
Moonrise Kingdom,2012,94,Comedy,7.8,Wes Anderson,Jared Gilman,318789,45512466,84
Mou gaan dou,2002,101,Action,8,Andrew Lau,Alan Mak,117857,169659,75
Mr. Nobody,2009,141,Drama,7.8,Jaco Van Dormael,Jared Leto,216421,3600,63
Mr. Smith Goes to Washington,1939,129,Comedy,8.1,Frank Capra,James Stewart,107017,9600000,73
Mulan,1998,88,Animation,7.6,Tony Bancroft,Barry Cook,256906,120620254,71
Mulholland Dr.,2001,147,Drama,7.9,David Lynch,Naomi Watts,322031,7220243,85
Munna Bhai M.B.B.S.,2003,156,Comedy,8.1,Rajkumar Hirani,Sanjay Dutt,73992,43851222,
Mustang,2015,97,Drama,7.6,Deniz Gamze Ergüven,Günes Sensoy,35785,845464,83
My Cousin Vinny,1992,120,Comedy,7.6,Jonathan Lynn,Joe Pesci,107325,52929168,68
My Fair Lady,1964,170,Drama,7.8,George Cukor,Audrey Hepburn,86525,72000000,95
My Left Foot: The Story of Christy Brown,1989,103,Biography,7.9,Jim Sheridan,Daniel Day-Lewis,68076,14743391,97
My Name Is Khan,2010,165,Drama,8,Karan Johar,Shah Rukh Khan,98575,4018695,50
Mysterious Skin,2004,105,Drama,7.6,Gregg Araki,Brady Corbet,65939,697181,73
Mystic River,2003,138,Crime,7.9,Clint Eastwood,Sean Penn,419420,90135191,84
Naked,1993,132,Comedy,7.8,Mike Leigh,David Thewlis,34635,1769305,84
Nebraska,2013,115,Adventure,7.7,Alexander Payne,Bruce Dern,112298,17654912,87
Nefes: Vatan Sagolsun,2009,128,Action,8,Levent Semerci,Erdem Can,31838,45527809,
Nelyubov,2017,127,Drama,7.6,Andrey Zvyagintsev,Maryana Spivak,29765,566356,86
Network,1976,121,Drama,8.1,Sidney Lumet,Faye Dunaway,144911,683407829,83
Night of the Living Dead,1968,96,Horror,7.9,George A. Romero,Duane Jones,116557,89029,89
Night on Earth,1991,129,Comedy,7.8,Jim Jarmusch,Winona Ryder,55362,2015810,68
Nightcrawler,2014,117,Crime,7.9,Dan Gilroy,Jake Gyllenhaal,466134,32381218,76
No Country for Old Men,2007,122,Crime,8.1,Ethan Coen,Joel Coen,856916,74283625,91
No Man's Land,2001,98,Comedy,7.9,Danis Tanovic,Branko Djuric,44618,1059830,84
North by Northwest,1959,136,Adventure,8.3,Alfred Hitchcock,Cary Grant,299198,13275000,98
Nosferatu,1922,94,Fantasy,7.9,F.W. Murnau,Max Schreck,88794,445151978,
Notorious,1946,102,Drama,7.9,Alfred Hitchcock,Cary Grant,92306,10464000,100
Nueve reinas,2000,114,Crime,7.9,Fabián Bielinsky,Ricardo Darín,49721,1221261,80
Nuovo Cinema Paradiso,1988,155,Drama,8.5,Giuseppe Tornatore,Philippe Noiret,230763,11990401,80
"O Brother, Where Art Thou?",2000,107,Adventure,7.7,Joel Coen,Ethan Coen,286742,45512588,69
Ocean's Eleven,2001,116,Crime,7.7,Steven Soderbergh,George Clooney,516372,183417150,74
October Sky,1999,108,Biography,7.8,Joe Johnston,Jake Gyllenhaal,82855,32481825,71
Office Space,1999,89,Comedy,7.7,Mike Judge,Ron Livingston,241575,10824921,68
Okuribito,2008,130,Drama,8.1,Yôjirô Takita,Masahiro Motoki,48582,1498210,68
Oldeuboi,2003,101,Action,8.4,Chan-wook Park,Choi Min-sik,515451,707481,77
